aar_wheel_arrangement,actual_owner,adhesion_factor,brake_system,manufacturer,cooling_fluid_capacity,cylinders_size,delivered_date,first_service_year,first_unit_year,fuel_capacity,fuel_type,gauge,generator,height,horsepower_total,horsepower_traction,length,lubrificant_oil_capacity,minimum_radius,model,motor_builder,motor_capacity,motor_primary,motor_type,multiple_traction_units,nickname,operated_railroads,operation_locations,original_railroads,prime_mover_type,rpm_limit,sand_capacity,serial_number,sigo_numeric_range,status,total_units,traction_effort,traction_motors,trucks_type,url,velocity_max,velocity_min,weight,weight_adherent,weight_per_axle,wheel_diameter,wheelbase,width
C-C,,,,GE,,,,,1977,,,Larga,,4.0,3600,,20.0,,,,GE,,,7 FDL,,Raiovack,,,,DIESEL_ELECTRIC,,,,3801-3809 e 3860-3885,,,,,,,,,180.0,,30.0,,,3.0
C-C,,,,GE,,,,,1989,,,Larga,,4686.0,4000,,21539.0,,,,GE,,,,,,,,,DIESEL_ELECTRIC,,,,,,,,,,,112.0,,177600.0,,29600.0,,,3137.0
C-C,,,,GE,,,,,1998,18900 L,,Larga,5GMG-197,4.0,4500,,22.0,,,,,,,,,"Dash9, Dash Nine",,,,DIESEL_ELECTRIC,,,,"Série 800 EFC, Série 9000 ALL",,,,5GE – 752,HiAd,,,,193.0,193.0,32.5,1.0,,3.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B+B-B+B,,,,GE,,,,,2015,14400 L,,Métrica,,,4300,,24700.0,,,,GE,,,Combustão interna,,,,,,DIESEL_ELECTRIC,,,,,,,,,AC (corrente alternada),,113.0,,196.0,,,,,
C-C,,,,GE,,,,,2009,,,Larga,,,6000,,,,,,,,,,,,,,,DIESEL_ELECTRIC,,,,,,,,,,,,,,,,,,
B-B,,,,GE,,,,,1998,,,Métrica,,,1000,,,,,,Cummins,,,,,,,,,DIESEL_ELECTRIC,,,,,,,,,,,,,,,,,,
B-B,,,,GE,,,,,1998,,,Larga,,,600,,,,,,Cummins,,,,,,,,,DIESEL_ELECTRIC,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-B,,,6SL,GE,,,,,1957,,,,5GT-581-C3,3.0,1320,,14.0,,,,Cooper-Bessemer,,,,,,,,,DIESEL_ELECTRIC,,,,,,,,5GE-761-A3,,,,,,,,914.4,2.0,2.0
